"scd_id","geo_year","scd_name","scd_state_id","scd_cou_code","scd_lea_code","scd_esd_name"
"5300001","2010","Aberdeen School District","WA-17216","14","14005","Capital Region ESD 113"
"5300002","2010","Adna School District","WA-10070","21","21226","Capital Region ESD 113"
"5300003","2010","Almira School District","WA-08458","22","22017","Educational Service District 101"
"5300004","2010","Anacortes School District","WA-04801","29","29103","Northwest Educational Service District 189"
"5300005","2010","Arlington School District","WA-06801","31","31016","Northwest Educational Service District 189"
"5300006","2010","Asotin-Anatone School District","WA-17801","02","02420","Educational Service District 123"
"5300007","2010","Auburn School District","WA-18801","17","17408","Puget Sound Educational Service District 121"
"5300008","2010","Bainbridge Island School District","WA-29801","18","18303","Puget Sound Educational Service District 121"
"5300010","2010","Bates Technical College","WA-32801","27","27931","Office of Superintendent of Public Instruction"
"5300011","2010","Battle Ground School District","WA-34801","06","06119","Educational Service District 112"
"5300012","2010","Bellevue School District","WA-11801","17","17405","Puget Sound Educational Service District 121"
"5300013","2010","Bellingham School District","WA-39801","37","37501","Northwest Educational Service District 189"
"5300014","2010","Benge School District","WA-27931","01","01122","Educational Service District 101"
"5300015","2010","Bethel School District","WA-34975","27","27403","Puget Sound Educational Service District 121"
"5300016","2010","Bickleton School District","WA-21926","20","20203","Educational Service District 105"
"5300017","2010","Blaine School District","WA-27932","37","37503","Northwest Educational Service District 189"
"5300030","2010","Boistfort School District","WA-14005","21","21234","Capital Region ESD 113"
"5300060","2010","Bremerton School District","WA-21226","18","18100","Olympic Educational Service District 114"
"5300090","2010","Brewster School District","WA-22017","24","24111","North Central Educational Service District 171"
"5300150","2010","Bridgeport School District","WA-29103","09","09075","North Central Educational Service District 171"
"5300240","2010","Brinnon School District","WA-31016","16","16046","Olympic Educational Service District 114"
"5300280","2010","Burlington-Edison School District","WA-02420","29","29100","Northwest Educational Service District 189"
"5300300","2010","Camas School District","WA-17408","06","06117","Educational Service District 112"
"5300313","2010","Cape Flattery School District","WA-17937","05","05401","Olympic Educational Service District 114"
"5300314","2010","Capital Region ESD 113","WA-31933","34","34801","Office of Superintendent of Public Instruction"
"5300315","2010","Carbonado School District","WA-19901","27","27019","Puget Sound Educational Service District 121"
"5300317","2010","Cascade School District","WA-38905","04","04228","North Central Educational Service District 171"
"5300318","2010","Cashmere School District","WA-34974","04","04222","North Central Educational Service District 171"
"5300319","2010","Castle Rock School District","WA-37906","08","08401","Educational Service District 112"
"5300320","2010","Catalyst Public Schools","WA-17904","18","18901","Washington State Charter School Commission"
"5300321","2010","Centerville School District","WA-17946","20","20215","Educational Service District 112"
"5300322","2010","Central Kitsap School District","WA-32931","18","18401","Olympic Educational Service District 114"
"5300323","2010","Central Valley School District","WA-17942","32","32356","Educational Service District 101"
"5300324","2010","Central Washington University","WA-34979","19",NA,NA
"5300325","2010","Centralia College","WA-17941","21","21926","Office of Superintendent of Public Instruction"
"5300326","2010","Centralia School District","WA-17935","21","21401","Capital Region ESD 113"
"5300328","2010","Chehalis School District","WA-18902","21","21302","Capital Region ESD 113"
"5300330","2010","Cheney School District","WA-18303","32","32360","Educational Service District 101"
"5300333","2010","Chewelah School District","WA-27905","33","33036","Educational Service District 101"
"5300334","2010","Chimacum School District","WA-17902","16","16049","Olympic Educational Service District 114"
"5300335","2010","Clarkston School District","WA-17908","02","02250","Educational Service District 123"
"5300337","2010","Cle Elum-Roslyn School District","WA-32901","19","19404","Educational Service District 105"
"5300339","2010","Clover Park School District","WA-32907","27","27400","Puget Sound Educational Service District 121"
"5300340","2010","Clover Park Technical College","WA-06701","27","27932","Office of Superintendent of Public Instruction"
"5300341","2010","Colfax School District","WA-34903","38","38300","Educational Service District 101"
"5300342","2010","College Place School District","WA-17910","36","36250","Educational Service District 123"
"5300343","2010","Colton School District","WA-17905","38","38306","Educational Service District 101"
"5300344","2010","Columbia (Stevens) School District","WA-36901","33","33206","Educational Service District 101"
"5300345","2010","Columbia (Walla Walla) School District","WA-17911","36","36400","Educational Service District 123"
"5300347","2010","Colville School District","WA-18901","33","33115","Educational Service District 101"
"5300348","2010","Community Colleges of Spokane","WA-17916","32",NA,NA
"5300350","2010","Concrete School District","WA-32903","29","29011","Northwest Educational Service District 189"
"5300380","2010","Conway School District","WA-06119","29","29317","Northwest Educational Service District 189"
"5300390","2010","Cosmopolis School District","WA-17405","14","14099","Capital Region ESD 113"
"5300420","2010","Coulee-Hartline School District","WA-37501","13","13151","North Central Educational Service District 171"
"5300450","2010","Coupeville School District","WA-01122","15","15204","Northwest Educational Service District 189"
"5300480","2010","Crescent School District","WA-27403","05","05313","Olympic Educational Service District 114"
"5300510","2010","Creston School District","WA-20203","22","22073","Educational Service District 101"
"5300570","2010","Curlew School District","WA-37503","10","10050","Educational Service District 101"
"5300630","2010","Cusick School District","WA-21234","26","26059","Educational Service District 101"
"5300660","2010","Damman School District","WA-18100","19","19007","Educational Service District 105"
"5300690","2010","Darrington School District","WA-24111","31","31330","Northwest Educational Service District 189"
"5300720","2010","Davenport School District","WA-09075","22","22207","Educational Service District 101"
"5300750","2010","Dayton School District","WA-16046","07","07002","Educational Service District 123"
"5300780","2010","Deer Park School District","WA-29100","32","32414","Educational Service District 101"
"5300810","2010","Dieringer School District","WA-06117","27","27343","Puget Sound Educational Service District 121"
"5300840","2010","Dixie School District","WA-05401","36","36101","Educational Service District 123"
"5300870","2010","East Valley School District (Spokane)","WA-27019","32","32361","Educational Service District 101"
"5300950","2010","East Valley School District (Yakima)","WA-04228","39","39090","Educational Service District 105"
"5300960","2010","Eastmont School District","WA-04222","09","09206","North Central Educational Service District 171"
"5300990","2010","Easton School District","WA-08401","19","19028","Educational Service District 105"
"5301050","2010","Eatonville School District","WA-20215","27","27404","Puget Sound Educational Service District 121"
"5301080","2010","Edmonds School District","WA-18401","31","31015","Northwest Educational Service District 189"
"5301110","2010","Educational Service Agency 112","WA-32356","06","06701","Educational Service District 112"
"5301140","2010","Educational Service District 101","WA-21401","32","32801","Office of Superintendent of Public Instruction"
"5301170","2010","Educational Service District 105","WA-21302","39","39801","Office of Superintendent of Public Instruction"
"5301200","2010","Educational Service District 112","WA-04129","06","06801","Office of Superintendent of Public Instruction"
"5301230","2010","Educational Service District 123","WA-32360","11","11801","Office of Superintendent of Public Instruction"
"5301260","2010","Ellensburg School District","WA-33036","19","19401","Educational Service District 105"
"5301290","2010","Elma School District","WA-16049","14","14068","Capital Region ESD 113"
"5301320","2010","Endicott School District","WA-02250","38","38308","Educational Service District 101"
"5301350","2010","Entiat School District","WA-19404","04","04127","North Central Educational Service District 171"
"5301380","2010","Enumclaw School District","WA-16020","17","17216","Puget Sound Educational Service District 121"
"5301410","2010","Ephrata School District","WA-27400","13","13165","North Central Educational Service District 171"
"5301440","2010","Evaline School District","WA-38300","21","21036","Capital Region ESD 113"
"5301470","2010","Everett Community College","WA-36250","31",NA,NA
"5301500","2010","Everett School District","WA-38306","31","31002","Northwest Educational Service District 189"
"5301560","2010","Evergreen School District (Clark)","WA-33206","06","06114","Educational Service District 112"
"5301590","2010","Evergreen School District (Stevens)","WA-36400","33","33205","Educational Service District 101"
"5301630","2010","Evergreen State College","WA-33115","34",NA,NA
"5301660","2010","Federal Way School District","WA-29011","17","17210","Puget Sound Educational Service District 121"
"5301680","2010","Ferndale School District","WA-29317","37","37502","Northwest Educational Service District 189"
"5301710","2010","Fife School District","WA-14099","27","27417","Puget Sound Educational Service District 121"
"5301800","2010","Finley School District","WA-15204","03","03053","Educational Service District 123"
"5301830","2010","Franklin Pierce School District","WA-05313","27","27402","Puget Sound Educational Service District 121"
"5301860","2010","Freeman School District","WA-22073","32","32358","Educational Service District 101"
"5301890","2010","Garfield School District","WA-10050","38","38302","Educational Service District 101"
"5301920","2010","Glenwood School District","WA-26059","20","20401","Educational Service District 112"
"5301950","2010","Goldendale School District","WA-19007","20","20404","Educational Service District 105"
"5301980","2010","Grand Coulee Dam School District","WA-31330","09","13301","North Central Educational Service District 171"
"5302010","2010","Grandview School District","WA-22207","39","39200","Educational Service District 105"
"5302040","2010","Granger School District","WA-07002","39","39204","Educational Service District 105"
"5302070","2010","Granite Falls School District","WA-32414","31","31332","Northwest Educational Service District 189"
"5302130","2010","Grapeview School District","WA-27343","23","23054","Capital Region ESD 113"
"5302160","2010","Great Northern School District","WA-36101","32","32312","Educational Service District 101"
"5302280","2010","Green Mountain School District","WA-32361","06","06103","Educational Service District 112"
"5302310","2010","Green River College","WA-09206","17",NA,NA
"5302340","2010","Griffin School District","WA-19028","34","34324","Capital Region ESD 113"
"5302370","2010","Harrington School District","WA-27404","22","22204","Educational Service District 101"
"5302400","2010","Highland School District","WA-31015","39","39203","Educational Service District 105"
"5302460","2010","Highline School District","WA-19401","17","17401","Puget Sound Educational Service District 121"
"5302490","2010","Hockinson School District","WA-14068","06","06098","Educational Service District 112"
"5302520","2010","Hood Canal School District","WA-38308","23","23404","Capital Region ESD 113"
"5302550","2010","Hoquiam School District","WA-04127","14","14028","Capital Region ESD 113"
"5302610","2010","IMPACT | Puget sound elementary","WA-13165","17","17911","Washington State Charter School Commission"
"5302640","2010","IMPACT | Salish Sea Elementary","WA-21036","17","17916","Washington State Charter School Commission"
"5302670","2010","Inchelium School District","WA-31002","10","10070","Educational Service District 101"
"5302700","2010","Index Elementary School District ","WA-06114","31","31063","Northwest Educational Service District 189"
"5302730","2010","Innovation Schools","WA-33205","36",NA,NA
"5302820","2010","Issaquah School District","WA-17210","17","17411","Puget Sound Educational Service District 121"
"5302850","2010","Kahlotus School District","WA-37502","11","11056","Educational Service District 123"
"5302880","2010","Kalama School District","WA-27417","08","08402","Educational Service District 112"
"5302910","2010","Keller School District","WA-03053","10","10003","Educational Service District 101"
"5302940","2010","Kelso School District","WA-27402","08","08458","Educational Service District 112"
"5302970","2010","Kennewick School District","WA-32358","03","03017","Educational Service District 123"
"5303000","2010","Kent School District","WA-38302","17","17415","Puget Sound Educational Service District 121"
"5303030","2010","Kettle Falls School District","WA-20401","33","33212","Educational Service District 101"
"5303090","2010","Kiona-Benton City School District","WA-20404","03","03052","Educational Service District 123"
"5303130","2010","Kittitas School District","WA-13301","19","19403","Educational Service District 105"
"5303150","2010","Klickitat School District","WA-39200","20","20402","Educational Service District 112"
"5303180","2010","La Center School District","WA-39204","06","06101","Educational Service District 112"
"5303210","2010","La Conner School District","WA-31332","29","29311","Northwest Educational Service District 189"
"5303240","2010","LaCrosse School District","WA-23054","38","38126","Educational Service District 101"
"5303270","2010","Lake Chelan School District","WA-32312","04","04129","North Central Educational Service District 171"
"5303300","2010","Lake Quinault School District","WA-06103","14","14097","Capital Region ESD 113"
"5303330","2010","Lake Stevens School District","WA-34324","31","31004","Northwest Educational Service District 189"
"5303360","2010","Lake Washington Institute of Technology","WA-22204","17","17937","Office of Superintendent of Public Instruction"
"5303440","2010","Lake Washington School District","WA-13151","17","17414","Puget Sound Educational Service District 121"
"5303510","2010","Lakewood School District","WA-39203","31","31306","Northwest Educational Service District 189"
"5303540","2010","Lamont School District","WA-17401","38","38264","Educational Service District 101"
"5303570","2010","Liberty School District","WA-06098","32","32362","Educational Service District 101"
"5303600","2010","Lind School District","WA-23404","01","01158","Educational Service District 101"
"5303660","2010","Longview School District","WA-14028","08","08122","Educational Service District 112"
"5303720","2010","Loon Lake School District","WA-31063","33","33183","Educational Service District 101"
"5303750","2010","Lopez School District","WA-17411","28","28144","Northwest Educational Service District 189"
"5303780","2010","Lumen Public School","WA-11056","32","32903","Spokane Public Schools Charter Authorizer"
"5303810","2010","Lyle School District","WA-08402","20","20406","Educational Service District 112"
"5303870","2010","Lynden School District","WA-10003","37","37504","Northwest Educational Service District 189"
"5303930","2010","Mabton School District","WA-03017","39","39120","Educational Service District 105"
"5303960","2010","Mansfield School District","WA-17415","09","09207","North Central Educational Service District 171"
"5303990","2010","Manson School District","WA-33212","04","04019","North Central Educational Service District 171"
"5304020","2010","Mary M Knight School District","WA-03052","23","23311","Capital Region ESD 113"
"5304050","2010","Mary Walker School District","WA-19403","33","33207","Educational Service District 101"
"5304080","2010","Marysville School District","WA-20402","31","31025","Northwest Educational Service District 189"
"5304110","2010","McCleary School District","WA-29311","14","14065","Capital Region ESD 113"
"5304150","2010","Mead School District","WA-38126","32","32354","Educational Service District 101"
"5304170","2010","Medical Lake School District","WA-06101","32","32326","Educational Service District 101"
"5304200","2010","Mercer Island School District","WA-31004","17","17400","Puget Sound Educational Service District 121"
"5304230","2010","Meridian School District","WA-17414","37","37505","Northwest Educational Service District 189"
"5304260","2010","Methow Valley School District","WA-31306","24","24350","North Central Educational Service District 171"
"5304290","2010","Mill A School District","WA-38264","30","30031","Educational Service District 112"
"5304380","2010","Monroe School District","WA-32362","31","31103","Northwest Educational Service District 189"
"5304410","2010","Montesano School District","WA-01158","14","14066","Capital Region ESD 113"
"5304470","2010","Morton School District","WA-08122","21","21214","Capital Region ESD 113"
"5304500","2010","Moses Lake School District","WA-33183","13","13161","North Central Educational Service District 171"
"5304530","2010","Mossyrock School District","WA-28144","21","21206","Capital Region ESD 113"
"5304560","2010","Mount Adams School District","WA-17407","39","39209","Educational Service District 105"
"5304590","2010","Mount Baker School District","WA-20406","37","37507","Northwest Educational Service District 189"
"5304620","2010","Mount Pleasant School District","WA-37504","30","30029","Educational Service District 112"
"5304650","2010","Mount Vernon School District","WA-39120","29","29320","Northwest Educational Service District 189"
"5304710","2010","Mukilteo School District","WA-09207","31","31006","Northwest Educational Service District 189"
"5304740","2010","Naches Valley School District","WA-04019","39","39003","Educational Service District 105"
"5304800","2010","Napavine School District","WA-23311","21","21014","Capital Region ESD 113"
"5304830","2010","Naselle-Grays River Valley School District","WA-33207","25","25155","Educational Service District 112"
"5304860","2010","Nespelem School District","WA-31025","24","24014","North Central Educational Service District 171"
"5304890","2010","Newport School District","WA-14065","26","26056","Educational Service District 101"
"5304920","2010","Nine Mile Falls School District","WA-32354","32","32325","Educational Service District 101"
"5304950","2010","Nooksack Valley School District","WA-32326","37","37506","Northwest Educational Service District 189"
"5304980","2010","North Beach School District","WA-17400","14","14064","Capital Region ESD 113"
"5305010","2010","North Central Educational Service District 171","WA-37505","04",NA,"Office of Superintendent of Public Instruction"
"5305020","2010","North Franklin School District","WA-24350","11","11051","Educational Service District 123"
"5305040","2010","North Kitsap School District","WA-30031","18","18400","Olympic Educational Service District 114"
"5305130","2010","North Mason School District","WA-31103","23","23403","Olympic Educational Service District 114"
"5305160","2010","North River School District","WA-14066","25","25200","Capital Region ESD 113"
"5305190","2010","North Thurston Public Schools","WA-21214","34","34003","Capital Region ESD 113"
"5305220","2010","Northport School District","WA-13161","33","33211","Educational Service District 101"
"5305250","2010","Northshore School District","WA-21206","31","17417","Puget Sound Educational Service District 121"
"5305280","2010","Northwest Educational Service District 189","WA-39209","29","29801","Office of Superintendent of Public Instruction"
"5305310","2010","Oak Harbor School District","WA-37507","15","15201","Northwest Educational Service District 189"
"5305340","2010","Oakesdale School District","WA-30029","38","38324","Educational Service District 101"
"5305370","2010","Oakville School District","WA-39090","14","14400","Capital Region ESD 113"
"5305400","2010","Ocean Beach School District","WA-29320","25","25101","Educational Service District 112"
"5305430","2010","Ocosta School District","WA-31006","14","14172","Capital Region ESD 113"
"5305460","2010","Odessa School District","WA-39003","22","22105","Educational Service District 101"
"5305490","2010","Office of the Governor (Sch for Blind)","WA-21014","06","34974","Office of Superintendent of Public Instruction"
"5305520","2010","Okanogan School District","WA-25155","24","24105","North Central Educational Service District 171"
"5305550","2010","Olympia School District","WA-24014","34","34111","Capital Region ESD 113"
"5305610","2010","Olympic Educational Service District 114","WA-26056","18","18801","Office of Superintendent of Public Instruction"
"5305640","2010","Omak School District","WA-32325","24","24019","North Central Educational Service District 171"
"5305670","2010","Onalaska School District","WA-37506","21","21300","Capital Region ESD 113"
"5305700","2010","Onion Creek School District","WA-14064","33","33030","Educational Service District 101"
"5305730","2010","Orcas Island School District","WA-11051","28","28137","Northwest Educational Service District 189"
"5305760","2010","Orchard Prairie School District","WA-18400","32","32123","Educational Service District 101"
"5305790","2010","Orient School District","WA-23403","10","10065","Educational Service District 101"
"5305820","2010","Orondo School District","WA-25200","09","09013","North Central Educational Service District 171"
"5305850","2010","Oroville School District","WA-34003","24","24410","North Central Educational Service District 171"
"5305880","2010","Orting School District","WA-33211","27","27344","Puget Sound Educational Service District 121"
"5305910","2010","Othello School District","WA-17417","01","01147","Educational Service District 123"
"5305940","2010","Palisades School District","WA-15201","09","09102","North Central Educational Service District 171"
"5305970","2010","Palouse School District","WA-38324","38","38301","Educational Service District 101"
"5306000","2010","Pasco School District","WA-14400","11","11001","Educational Service District 123"
"5306060","2010","Pateros School District","WA-25101","24","24122","North Central Educational Service District 171"
"5306090","2010","Paterson School District","WA-14172","03","03050","Educational Service District 123"
"5306120","2010","Pe Ell School District","WA-22105","21","21301","Capital Region ESD 113"
"5306150","2010","Peninsula School District","WA-24105","27","27401","Puget Sound Educational Service District 121"
"5306180","2010","Pioneer School District","WA-34111","23","23402","Capital Region ESD 113"
"5306220","2010","Pomeroy School District","WA-24019","12","12110","Educational Service District 123"
"5306240","2010","Port Angeles School District","WA-21300","05","05121","Olympic Educational Service District 114"
"5306270","2010","Port Townsend School District","WA-33030","16","16050","Olympic Educational Service District 114"
"5306300","2010","Prescott School District","WA-28137","36","36402","Educational Service District 123"
"5306330","2010","PRIDE Prep Charter School District","WA-32123","32","32907","Spokane Public Schools Charter Authorizer"
"5306360","2010","Prosser School District","WA-10065","03","03116","Educational Service District 123"
"5306390","2010","Puget Sound Educational Service District 121","WA-09013","17","17801","Office of Superintendent of Public Instruction"
"5306420","2010","Pullman School District","WA-24410","38","38267","Educational Service District 101"
"5306450","2010","Puyallup School District","WA-27344","27","27003","Puget Sound Educational Service District 121"
"5306480","2010","Queets-Clearwater School District","WA-01147","16","16020","Olympic Educational Service District 114"
"5306510","2010","Quilcene School District","WA-09102","16","16048","Olympic Educational Service District 114"
"5306540","2010","Quillayute Valley School District","WA-38301","05","05402","Olympic Educational Service District 114"
"5306570","2010","Quincy School District","WA-11001","13","13144","North Central Educational Service District 171"
"5306600","2010","Rainier Prep Charter School District","WA-24122","17","17908","Washington State Charter School Commission"
"5306630","2010","Rainier School District","WA-03050","34","34307","Capital Region ESD 113"
"5306660","2010","Rainier Valley Leadership Academy","WA-21301","17","17910","Washington State Charter School Commission"
"5306690","2010","Raymond School District","WA-27401","25","25116","Capital Region ESD 113"
"5306750","2010","Reardan-Edwall School District","WA-23402","22","22009","Educational Service District 101"
"5306780","2010","Renton School District","WA-12110","17","17403","Puget Sound Educational Service District 121"
"5306820","2010","Renton Technical College","WA-05121","17","17941","Office of Superintendent of Public Instruction"
"5306840","2010","Republic School District","WA-16050","10","10309","Educational Service District 101"
"5306870","2010","Richland School District","WA-36402","03","03400","Educational Service District 123"
"5306900","2010","Ridgefield School District","WA-03116","06","06122","Educational Service District 112"
"5306930","2010","Ritzville School District","WA-38267","01","01160","Educational Service District 101"
"5306960","2010","Riverside School District","WA-27003","32","32416","Educational Service District 101"
"5306990","2010","Riverview School District","WA-16048","17","17407","Puget Sound Educational Service District 121"
"5307020","2010","Rochester School District","WA-05402","34","34401","Capital Region ESD 113"
"5307050","2010","Roosevelt School District","WA-14097","20","20403","Educational Service District 112"
"5307080","2010","Rosalia School District","WA-13144","38","38320","Educational Service District 101"
"5307110","2010","Royal School District","WA-34307","13","13160","Educational Service District 105"
"5307140","2010","San Juan Island School District","WA-25116","28","28149","Northwest Educational Service District 189"
"5307210","2010","Satsop School District","WA-22009","14","14104","Capital Region ESD 113"
"5307230","2010","Seattle Central Community College","WA-17403","17",NA,NA
"5307260","2010","Seattle School District","WA-10309","17","17001","Puget Sound Educational Service District 121"
"5307320","2010","Sedro-Woolley School District","WA-03400","29","29101","Northwest Educational Service District 189"
"5307350","2010","Selah School District","WA-06122","39","39119","Educational Service District 105"
"5307380","2010","Selkirk School District","WA-01160","26","26070","Educational Service District 101"
"5307440","2010","Sequim School District","WA-32416","05","05323","Olympic Educational Service District 114"
"5307470","2010","Shaw Island School District","WA-34401","28","28010","Northwest Educational Service District 189"
"5307530","2010","Shelton School District","WA-20403","23","23309","Capital Region ESD 113"
"5307560","2010","Shoreline School District","WA-38320","17","17412","Puget Sound Educational Service District 121"
"5307620","2010","Skamania School District","WA-13160","30","30002","Educational Service District 112"
"5307650","2010","Skykomish School District","WA-28149","17","17404","Puget Sound Educational Service District 121"
"5307680","2010","Snohomish School District","WA-14104","31","31201","Northwest Educational Service District 189"
"5307710","2010","Snoqualmie Valley School District","WA-17001","17","17410","Puget Sound Educational Service District 121"
"5307740","2010","Soap Lake School District","WA-29101","13","13156","North Central Educational Service District 171"
"5307770","2010","South Bend School District","WA-39119","25","25118","Capital Region ESD 113"
"5307800","2010","South Kitsap School District","WA-26070","18","18402","Olympic Educational Service District 114"
"5307830","2010","South Seattle Community College","WA-05323","17",NA,NA
"5307860","2010","South Whidbey School District","WA-28010","15","15206","Northwest Educational Service District 189"
"5307900","2010","Southside School District","WA-23309","23","23042","Capital Region ESD 113"
"5307920","2010","Spokane International Academy","WA-17412","32","32901","Washington State Charter School Commission"
"5307950","2010","Spokane School District","WA-30002","32","32081","Educational Service District 101"
"5307980","2010","Sprague School District","WA-17404","22","22008","Educational Service District 101"
"5308020","2010","St. John School District","WA-31201","38","38322","Educational Service District 101"
"5308040","2010","Stanwood-Camano School District","WA-17410","31","31401","Northwest Educational Service District 189"
"5308070","2010","Star School District No. 054","WA-13156","11","11054","Educational Service District 123"
"5308100","2010","Starbuck School District","WA-25118","07","07035","Educational Service District 123"
"5308130","2010","Stehekin School District","WA-17406","04","04069","North Central Educational Service District 171"
"5308160","2010","Steilacoom Hist. School District","WA-18402","27","27001","Puget Sound Educational Service District 121"
"5308190","2010","Steptoe School District","WA-15206","38","38304","Educational Service District 101"
"5308220","2010","Stevenson-Carson School District","WA-23042","30","30303","Educational Service District 112"
"5308250","2010","Sultan School District","WA-32081","31","31311","Northwest Educational Service District 189"
"5308280","2010","Summit Public School: Atlas","WA-22008","17","17905","Washington State Charter School Commission"
"5308310","2010","Summit Public School: Olympus","WA-38322","27","27905","Washington State Charter School Commission"
"5308340","2010","Summit Public School: Sierra","WA-31401","17","17902","Washington State Charter School Commission"
"5308370","2010","Summit Valley School District","WA-11054","33","33202","Educational Service District 101"
"5308400","2010","Sumner School District","WA-07035","27","27320","Puget Sound Educational Service District 121"
"5308430","2010","Sunnyside School District","WA-04069","39","39201","Educational Service District 105"
"5308460","2010","Suquamish Tribal Education Department","WA-27001","18","18902","Office of Superintendent of Public Instruction"
"5308490","2010","Tacoma School District","WA-38304","27","27010","Puget Sound Educational Service District 121"
"5308520","2010","Taholah School District","WA-30303","14","14077","Capital Region ESD 113"
"5308550","2010","Tahoma School District","WA-31311","17","17409","Puget Sound Educational Service District 121"
"5308580","2010","Tekoa School District","WA-33202","38","38265","Educational Service District 101"
"5308610","2010","Tenino School District","WA-27320","34","34402","Capital Region ESD 113"
"5308670","2010","Thorp School District","WA-39201","19","19400","Educational Service District 105"
"5308700","2010","Toledo School District","WA-27010","21","21237","Capital Region ESD 113"
"5308730","2010","Tonasket School District","WA-14077","24","24404","North Central Educational Service District 171"
"5308760","2010","Toppenish School District","WA-17409","39","39202","Educational Service District 105"
"5308790","2010","Touchet School District","WA-38265","36","36300","Educational Service District 123"
"5308820","2010","Toutle Lake School District","WA-34402","08","08130","Educational Service District 112"
"5308850","2010","Trout Lake School District","WA-19400","20","20400","Educational Service District 112"
"5308910","2010","Tukwila School District","WA-21237","17","17406","Puget Sound Educational Service District 121"
"5308940","2010","Tumwater School District","WA-24404","34","34033","Capital Region ESD 113"
"5308970","2010","Union Gap School District","WA-39202","39","39002","Educational Service District 105"
"5309000","2010","University of Washington (17904)","WA-36300","17",NA,NA
"5309030","2010","University Place School District","WA-08130","27","27083","Puget Sound Educational Service District 121"
"5309060","2010","Valley School District","WA-20400","33","33070","Educational Service District 101"
"5309100","2010","Vancouver School District","WA-34033","06","06037","Educational Service District 112"
"5309150","2010","Vashon Island School District","WA-39002","17","17402","Puget Sound Educational Service District 121"
"5309180","2010","Wahkiakum School District","WA-27083","35","35200","Educational Service District 112"
"5309240","2010","Wahluke School District","WA-33070","13","13073","Educational Service District 105"
"5309270","2010","Waitsburg School District","WA-06037","36","36401","Educational Service District 123"
"5309300","2010","Walla Walla Public Schools","WA-17402","36","36140","Educational Service District 123"
"5309330","2010","Wapato School District","WA-35200","39","39207","Educational Service District 105"
"5309360","2010","Warden School District","WA-13073","13","13146","North Central Educational Service District 171"
"5309390","2010","Washington Center for Deaf and Hard of Hearing Youth","WA-36401","06","34975","Office of Superintendent of Public Instruction"
"5309450","2010","Washington Military Department","WA-36140","18","34979","Office of Superintendent of Public Instruction"
"5309480","2010","Washington State University","WA-39207","38",NA,NA
"5309510","2010","Washougal School District","WA-13146","06","06112","Educational Service District 112"
"5309540","2010","Washtucna School District","WA-06112","01","01109","Educational Service District 101"
"5309570","2010","Waterville School District","WA-01109","09","09209","North Central Educational Service District 171"
"5309600","2010","Wellpinit School District","WA-09209","33","33049","Educational Service District 101"
"5309630","2010","Wenatchee School District","WA-33049","04","04246","North Central Educational Service District 171"
"5309660","2010","West Valley School District (Spokane)","WA-04246","32","32363","Educational Service District 101"
"5309690","2010","West Valley School District (Yakima)","WA-32363","39","39208","Educational Service District 105"
"5309720","2010","Western Washington University","WA-39208","37",NA,NA
"5309750","2010","White Pass School District","WA-21303","21","21303","Capital Region ESD 113"
"5309780","2010","White River School District","WA-27416","27","27416","Puget Sound Educational Service District 121"
"5309810","2010","White Salmon Valley School District","WA-20405","20","20405","Educational Service District 112"
"5309840","2010","Wilbur School District","WA-22200","22","22200","Educational Service District 101"
"5309870","2010","Willapa Valley School District","WA-25160","25","25160","Capital Region ESD 113"
"5309900","2010","Wilson Creek School District","WA-13167","13","13167","North Central Educational Service District 171"
"5309930","2010","Winlock School District","WA-21232","21","21232","Capital Region ESD 113"
"5309990","2010","Wishkah Valley School District","WA-14117","14","14117","Capital Region ESD 113"
"5310020","2010","Wishram School District","WA-20094","20","20094","Educational Service District 112"
"5310050","2010","Woodland School District","WA-08404","08","08404","Educational Service District 112"
"5310110","2010","Yakima School District","WA-39007","39","39007","Educational Service District 105"
"5310140","2010","Yelm School District","WA-34002","34","34002","Capital Region ESD 113"
"5310170","2010","Zillah School District","WA-39205","39","39205","Educational Service District 105"
